Model,MSE,R²,MAE,RMSE
Linear Regression,241858468.44974464,-0.9862985855835829,6755.588686424844,15551.799524484124
Ridge Regression,169292222.5170855,-0.39033751553694307,6439.521456873268,13011.234473219114
ElasticNet Regression,63673746.02428852,0.477069905893609,6228.822910170193,7979.583073337135
Lasso Regression,241383597.97099814,-0.9823986412636032,6746.126452532987,15536.524642628356
Logistic Regression,185603148.075,-0.5242934136822945,8294.975,13623.62463058198
Random Forest Regressor,14126317.718077501,0.8839855181306087,1988.7532500000002,3758.4993971101685
Decision Tree Regressor,32190216.575,0.7356330664690471,2908.375,5673.642267097917
Huber Regression,38579371.77521934,0.6831611806648639,3198.3392739003807,6211.229489820783
Support Vector Regression (RBF),140266524.87561518,-0.1519596636453977,5889.605107260225,11843.416942572578
Gradient Boosting Regressor,18205460.371374287,0.8504849533806064,2355.2540065122134,4266.785718942807
Extra Trees Regressor,14000116.423407499,0.8850219650026517,2092.2472499999994,3741.672944473835
k-Nearest Neighbors Regressor,104821246.748,0.13913994622882941,6444.92,10238.224784990804
Bagging Regressor,15668284.024749998,0.8713218908712741,2032.8375,3958.3183329224544
AdaBoost Regressor,17333756.866425812,0.8576439478538025,2788.102533165033,4163.382863300685
MLP Regressor,162280279.51145187,-0.33275089240335287,6441.230825953273,12738.927722200635
RANSAC Regressor,40138537.821184725,0.6703562979926059,3108.179872150283,6335.498229909367
Bayesian Ridge,157373213.59015924,-0.29245088487703286,6374.325825624994,12544.848089560879
Gaussian Process Regressor,97791438.51778261,0.19687329017211186,6153.161907764567,9888.955380513284
Theil-Sen Regressor,24347859.027886283,0.8000395923323724,2916.655051495307,4934.354975869316
